City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Ashqelon,IL,31.6693,34.5715,84.4,69,0,3.74,clear sky
179,Barreirinhas,BR,-2.7469,-42.8264,73.49,91,34,1.41,scattered clouds
180,Belmonte,BR,-15.8631,-38.8828,64.9,72,100,13.53,overcast clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,48.69,92,100,6.96,overcast clouds
182,Alta Floresta,BR,-9.8756,-56.0861,73.35,45,12,4.41,few clouds
183,Aripuana,BR,-9.1667,-60.6333,72.01,47,79,2.95,broken clouds
184,Garoua,CM,9.3,13.4,74.03,89,100,7.07,overcast clouds
185,Black River,JM,18.0264,-77.8487,77.99,80,97,4.18,overcast clouds
186,Faya,SA,18.3851,42.4509,63.43,67,69,4.85,broken clouds
187,Iqaluit,CA,63.7506,-68.5145,47.93,93,90,0.0,light rain
188,Altamira,BR,-3.2033,-52.2064,71.51,82,16,2.91,few clouds
189,Alugan,PH,12.2188,125.4808,91.15,56,100,7.94,overcast clouds
190,Hofn,IS,64.2539,-15.2082,53.42,91,99,3.24,overcast clouds
191,Faanui,PF,-16.4833,-151.75,77.88,70,24,14.99,few clouds
192,Bekovo,RU,52.4663,43.712,71.89,65,18,5.57,few clouds
193,Anadyr,RU,64.75,177.4833,54.1,66,40,11.18,scattered clouds
194,Vardo,NO,70.3705,31.1107,48.4,94,100,17.27,overcast clouds
195,Ahipara,NZ,-35.1667,173.1667,57.96,66,9,10.89,clear sky
196,Pitimbu,BR,-7.4706,-34.8086,73.0,84,31,16.44,scattered clouds
197,Turukhansk,RU,65.8167,87.9833,69.8,53,100,8.23,overcast clouds
198,Vao,NC,-22.6667,167.4833,67.33,59,5,13.02,clear sky
199,Svoronos,GR,40.2644,22.46,82.11,41,0,2.24,clear sky
200,Mahebourg,MU,-20.4081,57.7,69.33,70,3,13.58,clear sky
201,Bambanglipuro,ID,-7.95,110.2833,82.09,68,56,13.94,broken clouds
202,Challapata,BO,-18.9,-66.7667,41.25,73,51,5.14,broken clouds
203,Abatskoye,RU,56.2875,70.4555,67.77,81,0,10.67,clear sky
204,Hithadhoo,MV,-0.6,73.0833,81.27,73,83,6.87,broken clouds
205,Qaanaaq,GL,77.484,-69.3632,40.62,86,77,2.73,broken clouds
206,Salalah,OM,17.0151,54.0924,74.59,94,100,3.36,overcast clouds
207,Tiksi,RU,71.6872,128.8694,53.8,60,16,6.4,few clouds
208,Buraydah,SA,26.326,43.975,82.85,9,5,2.39,clear sky
209,Beloha,MG,-25.1667,45.05,61.7,64,0,6.6,clear sky
210,Stokmarknes,NO,68.5646,14.9108,50.49,85,100,9.73,overcast clouds
211,Sydney,AU,-33.8679,151.2073,65.62,56,75,1.99,broken clouds
212,Ewa Beach,US,21.3156,-158.0072,82.09,62,0,24.63,clear sky
213,Touros,BR,-5.1989,-35.4608,73.27,77,9,15.37,clear sky
214,Cabo San Lucas,MX,22.8909,-109.9124,88.81,70,19,5.01,few clouds
215,Eureka,US,40.8021,-124.1637,63.18,83,24,1.99,few clouds
216,Tautira,PF,-17.7333,-149.15,80.62,65,3,9.84,clear sky
217,North Battleford,CA,52.7834,-108.2847,83.17,28,100,9.04,overcast clouds
218,Necochea,AR,-38.5473,-58.7368,39.04,66,0,9.31,clear sky
219,Oshawa,CA,43.9001,-78.8496,63.79,81,69,1.01,broken clouds
220,Strezhevoy,RU,60.7333,77.5889,58.98,66,99,9.55,overcast clouds
221,Juneau,US,58.3019,-134.4197,73.09,100,72,1.16,broken clouds
222,Bonthe,SL,7.5264,-12.505,75.97,87,82,9.15,light rain
223,Bambous Virieux,MU,-20.3428,57.7575,69.33,69,4,13.33,clear sky
224,Trat,TH,12.5,102.5,86.97,83,100,8.86,overcast clouds
225,Khanpur,PK,28.6453,70.6567,89.98,55,100,15.57,overcast clouds
226,Rawson,AR,-43.3002,-65.1023,55.0,38,22,7.18,few clouds
227,Vestmannaeyjar,IS,63.4427,-20.2734,53.53,89,87,6.22,overcast clouds
228,Odweyne,SO,9.4092,45.064,68.67,66,20,19.82,few clouds
229,Broome,US,42.2506,-75.833,60.85,97,90,1.99,mist
230,Dzhebariki-Khaya,RU,62.2167,135.8,83.19,27,1,3.38,clear sky
231,Terney,RU,45.0503,136.6092,66.9,95,100,9.42,overcast clouds
232,Geraldton,AU,-28.7667,114.6,60.13,72,81,12.66,broken clouds
233,Kabompo,ZM,-13.5927,24.2008,50.77,71,1,5.1,clear sky
234,Ewo,CG,-0.8725,14.8206,76.71,66,100,4.83,overcast clouds
235,French Harbor,HN,16.35,-86.4333,82.99,89,46,20.15,scattered clouds
236,Upala,CR,10.8979,-85.0145,75.11,94,100,3.8,overcast clouds
237,Aleysk,RU,52.4926,82.7822,74.08,45,88,6.44,overcast clouds
238,Ribeira Grande,PT,38.5167,-28.7,72.72,95,21,12.33,few clouds
239,Pozo Colorado,PY,-23.4923,-58.7972,57.24,67,93,4.83,overcast clouds
240,Bingol,TR,38.8847,40.4939,68.04,56,4,7.65,clear sky
241,Cidreira,BR,-30.1811,-50.2056,54.45,94,3,3.36,clear sky
242,Miquelon,PM,47.0975,-56.3814,59.29,88,67,14.34,broken clouds
243,Lincoln,US,40.8,-96.667,70.39,69,0,6.29,clear sky
244,Porto Novo,BJ,6.4965,2.6036,74.48,90,49,6.55,scattered clouds
245,Mnogovershinnyy,RU,53.9353,139.9242,64.38,59,100,4.68,overcast clouds
246,Wanlaweyn,SO,2.6185,44.8938,71.1,89,85,10.89,overcast clouds
247,Lichinga,MZ,-13.3128,35.2406,53.53,74,35,4.59,scattered clouds
248,Sechura,PE,-5.5569,-80.8222,65.98,76,0,11.79,clear sky
249,Saldanha,ZA,-33.0117,17.9442,46.45,87,30,7.9,scattered clouds
250,Gamba,GA,-2.65,10.0,71.91,88,56,3.67,broken clouds
251,Grindavik,IS,63.8424,-22.4338,52.56,100,75,6.91,broken clouds
252,Kahului,US,20.8947,-156.47,80.96,79,4,14.88,clear sky
253,Sugag,RO,45.7667,23.6333,62.15,56,0,7.2,clear sky
254,Calbuco,CL,-41.768,-73.1273,47.34,80,55,4.63,broken clouds
255,Taree,AU,-31.9,152.4667,68.11,55,83,3.76,broken clouds
256,Vigrestad,NO,58.5667,5.7,53.28,75,52,25.59,broken clouds
257,Hangal,IN,14.7667,75.1333,73.29,83,91,14.58,overcast clouds
258,Mazagao,BR,-0.115,-51.2894,72.57,93,48,2.33,scattered clouds
259,Burnie,AU,-41.0667,145.9167,52.07,81,88,9.1,overcast clouds
260,San Pedro De Uraba,CO,8.2752,-76.3764,75.56,92,100,7.7,overcast clouds
261,Turkmenabat,TM,39.0733,63.5786,87.55,10,0,12.8,clear sky
262,Lagoa,PT,39.05,-27.9833,71.78,95,100,13.31,overcast clouds
263,Arraial Do Cabo,BR,-22.9661,-42.0278,66.09,72,28,13.89,scattered clouds
264,Athabasca,CA,54.7169,-113.2854,82.96,32,100,7.58,overcast clouds
265,Bengkulu,ID,-3.8004,102.2655,79.95,82,71,9.53,broken clouds
266,Mollendo,PE,-17.0231,-72.0147,59.74,87,59,7.4,broken clouds
267,Corowa,AU,-36.0333,146.3833,58.37,60,0,9.51,clear sky
268,Codrington,AU,-38.2667,141.9667,57.2,66,17,20.47,few clouds
269,Emilio Carranza,MX,19.9711,-96.6114,79.34,84,33,6.24,scattered clouds
270,Portland,US,45.5234,-122.6762,87.58,54,45,3.0,scattered clouds
271,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,2,4.52,clear sky
272,Altay,CN,47.8667,88.1167,73.6,31,1,4.88,clear sky
273,Almaznyy,RU,48.0448,40.045,66.34,50,65,5.68,broken clouds
274,Ercis,TR,39.0287,43.3586,62.2,61,10,5.37,clear sky
275,Chokurdakh,RU,70.6333,147.9167,49.35,50,38,7.14,scattered clouds
276,Krupanj,RS,44.3656,19.3619,78.84,82,2,3.24,clear sky
277,Mar Del Plata,AR,-38.0023,-57.5575,42.1,1,0,5.01,clear sky
278,Lompoc,US,34.6391,-120.4579,73.38,73,2,8.99,clear sky
279,Nalut,LY,30.3333,10.85,84.78,15,6,8.3,clear sky
280,Ribnica,SI,45.7386,14.7275,63.28,99,49,1.21,scattered clouds
281,Tubuala,PA,9.5167,-79.0333,81.34,84,100,4.21,overcast clouds
282,Boguchany,RU,58.3814,97.4531,58.48,95,100,2.26,overcast clouds
283,Luba,GQ,3.4568,8.5547,76.26,85,52,5.53,light rain
284,Ville-Marie,CA,47.3335,-79.433,50.4,84,60,4.12,broken clouds
285,Nuuk,GL,64.1835,-51.7216,50.43,78,100,6.17,overcast clouds
286,Ponta Delgada,PT,37.7333,-25.6667,72.32,94,75,10.36,light intensity drizzle
287,Kiruna,SE,67.8557,20.2251,40.12,81,90,1.14,overcast clouds
288,Granja,BR,-3.1203,-40.8261,73.85,59,42,4.68,scattered clouds
289,Luau,AO,-10.7073,22.2247,58.05,48,48,4.16,scattered clouds
290,Porto Santo,PT,33.072,-16.3415,71.51,83,40,13.8,scattered clouds
291,Achacachi,BO,-16.05,-68.6833,36.77,86,81,6.24,broken clouds
292,Kenai,US,60.5544,-151.2583,75.02,71,1,6.02,clear sky
293,Hambantota,LK,6.1241,81.1185,82.74,83,20,13.8,few clouds
294,Zaysan,KZ,47.4667,84.8667,80.51,24,0,5.86,clear sky
295,Visnes,NO,59.3556,5.2242,54.57,76,40,23.02,scattered clouds
296,Smithers,CA,54.7804,-127.1743,83.5,48,3,3.15,clear sky
297,Sitka,US,57.0531,-135.33,61.29,82,73,4.61,broken clouds
298,Severo-Kurilsk,RU,50.6789,156.125,57.97,67,29,13.8,scattered clouds
299,Lunino,RU,53.5918,45.2271,69.91,71,5,4.03,clear sky
300,Boende,CD,-0.2167,20.8667,70.72,80,100,2.66,overcast clouds
301,Camabatela,AO,-8.1881,15.375,57.04,93,43,3.8,scattered clouds
302,Calvinia,ZA,-31.4707,19.776,48.34,30,5,3.44,clear sky
303,Sai Buri,TH,6.7013,101.6168,86.92,61,59,9.22,broken clouds
304,Saint Anthony,US,45.0205,-93.218,70.66,62,1,0.0,clear sky
305,Nioro,GM,13.35,-15.75,74.8,95,80,7.09,broken clouds
306,Mednogorsk,RU,51.4128,57.595,76.5,51,46,0.81,scattered clouds
307,Puri,IN,19.8,85.85,84.38,70,71,9.42,broken clouds
308,Bakchar,RU,57.0186,82.0711,64.62,63,99,3.09,overcast clouds
309,Bonavista,CA,48.6499,-53.1147,61.12,81,1,18.81,clear sky
310,Naini Tal,IN,29.3974,79.4469,64.53,83,59,2.21,broken clouds
311,Seoul,KR,37.5683,126.9778,83.59,87,100,3.33,light rain
312,Pevek,RU,69.7008,170.3133,35.6,88,100,16.06,overcast clouds
313,Brae,GB,60.3964,-1.353,49.91,79,100,11.56,overcast clouds
314,Saint-Pierre,RE,-21.3393,55.4781,64.29,63,25,6.91,scattered clouds
315,Moscow,RU,55.7522,37.6156,66.72,85,100,3.8,overcast clouds
